ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60629,44,10/25/2020,10/31/2020,691,7357,618,6577.6,3478,47836,3110,42768,0.2,0.2,3,125,2.7,111.8,111850,60629-2020-44,POINT (-87.711565 41.777061)
60629,45,11/01/2020,11/07/2020,999,8356,893,7470.7,4079,51915,3647,46414.8,0.3,0.2,8,133,7.2,118.9,111850,60629-2020-45,POINT (-87.711565 41.777061)
60629,46,11/08/2020,11/14/2020,1231,9587,1101,8571.3,4804,56719,4295,50709.9,0.3,0.2,12,145,10.7,129.6,111850,60629-2020-46,POINT (-87.711565 41.777061)
60629,47,11/15/2020,11/21/2020,1021,10608,913,9484.1,4726,61445,4225,54935.2,0.3,0.2,8,153,7.2,136.8,111850,60629-2020-47,POINT (-87.711565 41.777061)
60629,8,02/21/2021,02/27/2021,93,15984,83,14290.6,1731,100017,1548,89420.7,0.1,0.2,1,229,0.9,204.7,111850,60629-2021-8,POINT (-87.711565 41.777061)
60630,39,09/20/2020,09/26/2020,39,1328,68,2315.8,922,18107,1608,31576.1,0.0,0.1,0,66,0.0,115.1,57344,60630-2020-39,POINT (-87.759611 41.971261)
60620,20,05/10/2020,05/16/2020,80,933,118,1370.1,770,4268,1131,6267.6,0.1,0.2,4,59,5.9,86.6,68096,60620-2020-20,POINT (-87.651656 41.740873)
60630,53,12/27/2020,01/02/2021,167,4088,291,7128.9,1367,41222,2384,71885.5,0.1,0.1,7,100,12.2,174.4,57344,60630-2020-53,POINT (-87.759611 41.971261)
60630,1,01/03/2021,01/09/2021,178,4266,310,7439.3,1658,42880,2891,74776.8,0.1,0.1,6,106,10.5,184.8,57344,60630-2021-1,POINT (-87.759611 41.971261)
60630,2,01/10/2021,01/16/2021,184,4450,321,7760.2,1731,44611,3019,77795.4,0.1,0.1,1,107,1.7,186.6,57344,60630-2021-2,POINT (-87.759611 41.971261)
60620,49,11/29/2020,12/05/2020,223,3309,328,4859.3,2218,38919,3257,57153.1,0.1,0.1,4,100,5.9,146.9,68096,60620-2020-49,POINT (-87.651656 41.740873)
60624,51,12/13/2020,12/19/2020,99,2381,274,6585,916,23092,2533,63864.2,0.1,0.1,4,55,11.1,152.1,36158,60624-2020-51,POINT (-87.722735 41.879417)
60624,52,12/20/2020,12/26/2020,72,2453,199,6784.1,736,23828,2036,65899.7,0.1,0.1,2,57,5.5,157.6,36158,60624-2020-52,POINT (-87.722735 41.879417)
60624,53,12/27/2020,01/02/2021,71,2524,196,6980.5,740,24568,2047,67946.2,0.1,0.1,1,58,2.8,160.4,36158,60624-2020-53,POINT (-87.722735 41.879417)
60624,1,01/03/2021,01/09/2021,78,2602,216,7196.2,988,25556,2732,70678.7,0.1,0.1,1,59,2.8,163.2,36158,60624-2021-1,POINT (-87.722735 41.879417)
60624,2,01/10/2021,01/16/2021,76,2678,210,7406.4,978,26534,2705,73383.5,0.1,0.1,1,60,2.8,165.9,36158,60624-2021-2,POINT (-87.722735 41.879417)
60624,3,01/17/2021,01/23/2021,49,2727,136,7541.9,1059,27593,2929,76312.3,0.1,0.1,1,61,2.8,168.7,36158,60624-2021-3,POINT (-87.722735 41.879417)
60625,13,03/22/2020,03/28/2020,27,53,34,66.9,148,243,187,306.7,0.1,0.1,0,1,0.0,1.3,79243,60625-2020-13,POINT (-87.701816 41.971155)
60620,50,12/06/2020,12/12/2020,211,3520,310,5169.2,2373,41292,3485,60637.9,0.1,0.1,3,103,4.4,151.3,68096,60620-2020-50,POINT (-87.651656 41.740873)
60620,51,12/13/2020,12/19/2020,169,3689,248,5417.4,2123,43415,3118,63755.6,0.1,0.1,3,106,4.4,155.7,68096,60620-2020-51,POINT (-87.651656 41.740873)
60620,52,12/20/2020,12/26/2020,106,3795,156,5573,1515,44930,2225,65980.4,0.1,0.1,6,112,8.8,164.5,68096,60620-2020-52,POINT (-87.651656 41.740873)
60632,18,04/26/2020,05/02/2020,588,1509,646,1657.5,1167,3065,1282,3366.7,0.5,0.5,12,28,13.2,30.8,91039,60632-2020-18,POINT (-87.711251 41.810038)
60632,19,05/03/2020,05/09/2020,473,1982,520,2177.1,1231,4296,1352,4718.9,0.4,0.4,13,41,14.3,45.0,91039,60632-2020-19,POINT (-87.711251 41.810038)
60632,21,05/17/2020,05/23/2020,354,2783,389,3056.9,1422,7049,1562,7742.8,0.3,0.4,9,60,9.9,65.9,91039,60632-2020-21,POINT (-87.711251 41.810038)
60620,53,12/27/2020,01/02/2021,129,3924,189,5762.5,1760,46690,2585,68565,0.1,0.1,5,117,7.3,171.8,68096,60620-2020-53,POINT (-87.651656 41.740873)
